Monday	Tuesday	Wednesday	Thursday	Friday	Saturday	Sunday	WorkdaysMorning	WorkdaysDay	WorkdayEvening	WorkdaysAllDay	WeekendsMorning	WeekendsDay	WeekendsEvening	WeekendAllDay
Понедельник	Вторник	Среда	Четверг	Пятница	Суббота	Воскресение	Утром (до 12)	Днём (14–18)	Вечером (после 18)	Целый день (10–18)	Утром (до 12)	Днём (14–18)	Вечером (после 18)	Целый день (10–18)
Понедельник			Четверг						Вечером (после 18)			Днём (14–18)		
Понедельник	Вторник	Среда	Четверг	Пятница	Суббота	Воскресение	Утром (до 12)						Вечером (после 18)	
					Суббота	Воскресение		Днём (14–18)		Целый день (10–18)		Днём (14–18)		Целый день (10–18)
						Воскресение			Вечером (после 18)		Утром (до 12)	Днём (14–18)		
					Суббота	Воскресение			Вечером (после 18)					Целый день (10–18)
Понедельник	Вторник		Четверг	Пятница				Днём (14–18)						
					Суббота	Воскресение			Вечером (после 18)					Целый день (10–18)
					Суббота	Воскресение	Утром (до 12)							Целый день (10–18)
Понедельник	Вторник	Среда	Четверг	Пятница	Суббота	Воскресение	Утром (до 12)	Днём (14–18)	Вечером (после 18)	Целый день (10–18)		Днём (14–18)		
	Вторник			Пятница	Суббота	Воскресение								Целый день (10–18)
				Пятница	Суббота	Воскресение			Вечером (после 18)				Вечером (после 18)	Целый день (10–18)
	Вторник		Четверг		Суббота	Воскресение	Утром (до 12)			Целый день (10–18)				Целый день (10–18)
					Суббота	Воскресение			Вечером (после 18)		Утром (до 12)			
					Суббота	Воскресение			Вечером (после 18)					Целый день (10–18)
					Суббота	Воскресение	Утром (до 12)						Вечером (после 18)	
Понедельник		Среда							Вечером (после 18)					Целый день (10–18)
					Суббота	Воскресение			Вечером (после 18)			Днём (14–18)	Вечером (после 18)	
Понедельник	Вторник	Среда	Четверг	Пятница	Суббота	Воскресение	Утром (до 12)		Вечером (после 18)					Целый день (10–18)
					Суббота	Воскресение			Вечером (после 18)				Вечером (после 18)	
Понедельник	Вторник	Среда	Четверг	Пятница			Утром (до 12)							
	Вторник	Среда	Четверг		Суббота	Воскресение			Вечером (после 18)		Утром (до 12)	Днём (14–18)		
Понедельник				Пятница		Воскресение			Вечером (после 18)				Вечером (после 18)	
Понедельник					Суббота		Утром (до 12)		Вечером (после 18)		Утром (до 12)	Днём (14–18)		
					Суббота	Воскресение			Вечером (после 18)			Днём (14–18)		
Понедельник	Вторник	Среда	Четверг	Пятница	Суббота	Воскресение			Вечером (после 18)					Целый день (10–18)
